DB_CHANGE,DB_LATENCY,MS-B_LATENCY,MS-B_ERROR,MS-A_LATENCY,MS-A_ERROR,MS-A_THREADS,MS-A_CRASH,OUTAGE
0,0,0,1,0,1,0,0,1
1,0,0,1,0,1,0,0,1
0,0,0,1,1,1,0,0,1
0,0,0,1,0,1,0,0,1
0,0,0,1,0,1,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0
0,0,1,1,0,0,0,0,0
0,1,0,1,1,1,1,1,1
0,1,0,1,0,1,0,0,0
1,0,1,0,0,0,0,0,0
1,0,0,1,1,1,1,0,1
0,0,0,1,0,0,0,0,0
1,1,0,1,0,1,0,0,1
0,0,0,1,0,0,0,1,1
0,0,0,0,0,0,0,0,0
1,1,0,1,0,1,0,1,1
0,0,0,1,0,0,0,0,0
0,0,0,1,0,1,0,0,0
0,0,0,1,1,1,0,0,0
0,0,0,1,0,1,0,0,1
0,0,0,1,0,1,0,0,0
0,0,1,1,0,1,0,0,1
0,0,1,1,0,1,0,0,1
0,1,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0
0,0,0,1,1,0,1,0,0
1,1,0,1,0,1,0,0,1
0,0,0,1,0,1,0,0,0
0,0,0,1,0,1,0,0,1
0,1,0,1,0,0,0,0,0
0,0,1,1,0,0,0,0,0
0,1,0,1,1,1,0,0,0
0,1,1,1,0,1,0,0,0
0,0,0,1,0,1,0,1,1
0,0,0,1,0,1,0,1,0
0,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,0,0
0,0,1,1,1,1,0,0,1
0,0,0,1,1,1,0,1,1
0,0,0,1,0,0,0,1,1
0,0,0,1,1,1,1,0,0
0,0,0,0,1,0,0,0,0
0,0,0,1,1,1,0,0,1
0,0,0,1,0,1,0,0,0
0,0,0,1,0,1,1,1,1
0,0,0,1,1,1,0,0,1
0,0,0,1,0,0,0,0,0
0,0,0,1,0,1,0,0,1
0,0,1,1,0,0,0,0,0
0,0,0,1,0,1,0,0,1
0,0,1,1,0,0,0,0,0
0,0,0,1,0,1,0,0,1
0,1,0,1,0,1,0,0,1
0,0,1,1,1,1,0,0,0
0,0,0,1,0,1,0,0,1
0,0,1,1,0,1,0,0,1
0,0,0,1,0,1,0,1,1
0,1,0,1,0,1,0,0,1
0,0,0,0,0,0,0,0,0
0,1,0,1,0,1,0,0,1
0,0,0,1,0,1,0,0,0
0,0,0,1,1,1,0,1,1
0,0,0,1,0,1,0,0,0
0,0,0,1,0,1,0,0,0
0,0,1,1,0,1,0,0,1
1,0,0,1,0,1,0,0,1
0,0,0,1,0,1,0,0,1
0,0,0,1,0,1,0,0,1
0,0,0,1,0,1,0,0,1
0,0,1,1,0,1,0,0,0
0,0,1,1,0,1,0,0,0
0,0,0,1,0,1,0,0,1
0,0,0,1,0,1,0,0,1
0,1,0,1,0,1,0,1,0
1,0,0,1,0,1,0,0,0
1,0,0,1,1,1,1,1,1
0,0,0,1,0,0,0,1,1
0,1,0,0,0,0,1,0,0
0,1,0,1,0,0,0,0,1
1,0,0,1,0,1,0,0,1
1,0,0,1,0,1,0,0,1
0,0,0,1,0,1,1,1,1
0,0,0,1,0,1,0,0,1
0,0,0,1,0,0,0,0,0
0,0,0,1,0,1,0,0,1
0,0,0,1,0,1,0,0,1
0,0,1,1,0,1,0,1,1
0,0,0,1,0,1,0,0,1
0,0,0,1,1,1,1,1,0
0,0,1,0,0,0,0,0,0
0,0,0,1,0,1,0,0,1
0,0,0,1,0,0,0,0,0
0,0,1,1,0,1,0,0,1
0,0,0,1,0,1,0,0,0
0,1,0,1,0,1,0,0,1
0,0,0,1,0,0,0,0,0
0,1,0,1,0,1,0,0,1
0,0,0,1,0,1,0,0,0
0,0,0,1,0,1,0,0,0
0,1,0,1,0,1,1,0,0
0,0,0,1,0,1,0,0,0
0,0,0,1,0,0,0,0,0
0,1,0,0,0,0,0,0,0
0,0,0,1,0,1,0,0,1
0,0,0,1,0,1,0,0,1
0,1,0,1,0,1,0,0,1
0,0,0,1,0,1,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,1,0,1,0,0,0
0,0,0,1,0,1,0,0,0
0,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,0,0
1,0,0,1,0,1,0,0,0
0,0,1,1,0,1,0,0,1
0,0,0,1,0,1,0,0,1
0,0,0,1,0,1,0,0,1
0,0,0,1,0,1,0,0,1
0,0,0,1,0,1,0,0,0
0,0,0,0,0,0,0,0,0
1,1,0,1,0,1,0,0,0
0,0,0,1,0,1,1,0,1
0,1,0,1,0,1,0,0,0
0,0,0,1,0,1,0,0,1
0,0,0,1,1,0,1,0,1
0,1,0,1,0,1,0,0,0
0,0,1,1,0,0,0,0,0
0,1,0,1,0,1,0,0,1
0,0,0,0,0,0,0,0,1
0,0,0,1,1,1,1,0,1
0,0,0,1,1,1,0,0,0
0,0,0,1,0,1,0,0,1
0,0,0,1,0,0,0,1,1
0,0,1,1,0,1,0,0,1
0,0,0,1,0,0,0,0,0
1,0,1,1,0,1,0,0,1
0,0,0,1,0,0,0,0,0
0,0,0,1,0,1,0,0,1
0,0,0,1,0,1,0,0,0
0,1,1,1,1,0,1,0,0
1,0,0,0,0,0,0,0,0
0,0,0,1,0,1,0,0,1
0,0,0,0,0,0,0,0,0
0,0,1,1,0,0,0,0,0
0,0,1,1,1,1,0,0,1
0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0
0,0,0,1,0,1,0,0,1
1,1,0,1,0,0,0,0,0
0,0,0,1,0,1,0,1,1
0,0,0,1,0,1,0,0,1
0,0,0,1,0,0,0,0,0
0,0,0,1,0,1,0,0,1
0,1,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0
0,0,0,1,0,1,0,0,1
0,0,0,1,0,0,0,0,0
0,0,0,0,1,0,0,0,1
1,0,1,1,1,1,1,1,1
0,0,0,0,1,0,1,0,0
1,0,0,1,0,0,0,1,1
0,0,0,0,1,0,0,0,1
0,0,0,1,0,1,0,1,0
0,0,0,1,0,1,0,0,0
0,1,0,0,0,0,0,0,1
0,0,0,1,0,1,0,0,1
0,0,0,0,0,0,0,0,0
0,0,0,1,0,1,0,0,0
0,0,0,1,1,1,0,0,1
0,0,0,1,1,1,1,1,0
0,0,0,0,0,0,0,0,0
0,0,0,1,0,1,0,0,1
0,0,1,1,0,0,0,0,0
0,0,1,1,1,1,0,0,1
0,0,1,1,0,0,0,0,0
0,0,0,1,0,1,0,0,1
0,0,0,1,0,1,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,1,0,1,0,0,1
0,0,0,1,0,1,0,0,0
0,0,0,1,0,1,0,0,1
0,1,0,1,0,0,1,1,1
0,0,0,1,0,1,0,0,1
0,0,0,1,1,1,1,0,0
0,0,0,1,0,0,0,0,0
0,1,1,1,0,1,0,0,1
0,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,0,0
0,0,0,1,1,1,1,0,1
0,0,0,1,0,1,0,0,1
0,0,0,1,0,1,0,0,0
0,0,0,1,1,0,0,0,0
0,1,0,1,0,0,0,0,0
0,0,0,1,0,1,0,0,1
0,0,0,1,0,1,0,0,0
0,1,0,1,0,0,0,0,0
0,1,1,1,1,1,1,0,1
0,0,0,1,1,1,1,0,1
0,0,0,1,0,1,0,0,1
0,1,0,1,0,1,1,0,1
0,0,0,1,0,1,0,0,1
0,0,1,1,1,1,0,0,1
0,0,0,1,0,1,0,0,1
1,0,1,1,0,0,0,0,0
1,0,0,1,0,1,0,0,1
0,0,0,1,0,1,0,0,1
0,1,0,1,0,1,0,0,1
0,0,0,0,1,0,0,0,1
0,1,1,1,1,0,1,0,0
0,1,0,1,0,1,0,0,0
0,0,1,1,0,1,0,0,1
0,0,0,1,0,0,0,0,1
0,1,0,1,0,1,0,0,0
0,0,1,1,0,1,0,0,0
0,0,0,1,1,1,1,1,1
0,1,0,1,0,1,0,0,1
0,0,0,1,0,1,0,0,1
0,1,0,1,0,1,0,0,1
1,0,0,1,0,0,0,0,0
0,0,0,1,0,1,0,0,1
0,0,1,1,0,1,0,1,0
0,0,1,1,0,1,0,0,1
1,0,1,1,1,0,1,0,0
1,1,0,1,0,1,0,0,0
0,0,0,1,0,1,0,0,0
0,0,0,1,1,0,1,1,1
0,0,0,1,0,1,0,1,1
0,0,0,1,0,0,0,0,1
1,0,0,1,0,1,0,0,1
0,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,0,0
0,1,0,1,0,1,0,0,0
0,0,0,1,0,1,0,0,0
0,0,0,1,1,1,0,0,1
0,0,1,1,1,1,0,0,1
0,0,0,1,0,0,0,0,1
0,1,0,1,1,1,0,0,1
1,0,0,1,0,1,0,0,1
0,0,0,1,0,1,0,0,1
1,0,0,1,0,0,0,0,0
0,0,0,1,0,1,0,1,0
0,0,0,1,0,1,0,0,1
0,0,0,1,0,1,0,0,1
0,1,0,1,0,1,0,0,0
0,0,0,1,0,1,0,0,0
0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0
0,0,1,1,0,1,0,0,1
1,0,0,0,0,0,0,0,0
1,0,0,1,0,1,0,0,1
1,0,0,1,0,0,0,0,0
0,0,0,1,0,1,0,0,0
1,0,0,0,0,0,0,0,0
0,0,1,1,0,1,0,0,1
1,0,0,1,1,1,0,0,1
0,0,0,1,0,1,0,0,1
0,0,0,1,0,1,0,0,1
1,0,0,1,0,1,0,0,1
0,0,0,1,0,0,0,0,0
0,0,0,0,0,1,1,1,1
0,0,0,1,1,1,0,0,1
0,0,0,1,0,1,0,0,1
0,0,0,0,0,0,0,0,0
1,0,0,1,0,1,0,0,1
1,0,1,1,0,0,0,0,0
1,0,0,1,0,0,0,0,0
0,0,0,1,0,1,0,0,1
0,0,0,1,0,0,0,0,0
0,1,1,1,0,0,0,1,0
0,0,0,1,1,0,0,0,0
0,0,0,1,0,1,1,1,1
0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,1
0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0
0,0,0,1,0,1,0,0,0
0,0,0,1,0,1,0,0,1
0,0,0,1,0,1,0,0,0
0,0,0,1,0,1,0,0,1
0,0,0,1,0,1,0,0,0
0,0,0,1,0,0,0,0,0
0,0,0,1,0,1,0,0,1
0,0,0,1,0,1,0,0,0
0,0,0,1,1,1,0,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,1
0,1,0,1,0,0,0,0,1
1,0,0,1,0,0,0,0,0
0,0,0,1,0,1,0,0,1
0,0,0,1,0,1,0,0,1
0,0,1,1,0,0,0,0,0
0,0,1,1,0,1,0,0,0
0,0,0,0,1,1,0,0,0
1,0,0,1,0,0,0,0,0
0,0,0,1,0,1,0,0,0
0,0,0,1,0,1,0,0,1
0,0,0,1,0,0,0,0,0
0,0,0,1,0,1,1,0,1
1,1,0,1,0,1,0,0,1
0,0,1,1,1,1,0,0,0
0,0,0,1,0,1,0,0,0
0,0,1,1,0,1,0,0,0
0,0,1,1,1,0,0,1,1
0,0,0,1,0,1,0,0,0
0,0,0,1,0,1,0,0,0
0,0,0,1,0,1,0,1,1
0,0,0,0,0,0,0,0,0
1,0,0,1,0,1,0,0,1
0,0,0,1,1,1,0,0,1
0,0,0,1,0,0,1,0,0
0,0,0,0,0,0,0,0,0
0,0,0,1,0,1,0,0,1
0,1,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,1,1,1,1,0,1
0,0,0,1,0,1,1,0,1
0,0,1,1,0,1,0,0,0
0,0,0,1,1,1,1,0,0
0,1,0,1,0,1,1,0,1
0,1,0,1,0,1,0,0,0
0,0,0,1,1,0,0,0,0
1,0,1,1,0,1,0,0,1
0,0,0,1,0,0,0,0,0
0,0,0,1,0,1,0,0,0
0,0,0,1,1,1,1,1,1
0,0,0,1,0,0,0,0,1
0,0,0,1,0,1,0,1,0
0,0,0,1,0,1,1,0,1
0,1,1,1,0,1,0,0,1
0,0,0,1,0,0,0,0,0
0,0,0,1,0,1,0,0,0
0,0,0,1,0,0,0,0,0
1,1,0,1,1,1,1,1,1
1,0,1,1,0,0,0,0,0
0,0,0,1,0,1,0,0,1
0,0,0,1,0,1,0,0,1
0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0
0,0,0,1,0,1,0,0,1
0,1,0,1,0,1,0,0,1
1,0,0,1,0,1,0,0,1
0,0,0,1,0,0,1,0,0
0,0,0,1,1,0,0,0,1
0,0,0,1,0,0,0,0,0
0,0,1,1,0,0,0,0,0
1,0,0,0,0,0,0,0,0
0,0,0,1,0,1,0,0,1
0,1,0,1,0,0,0,0,1
0,0,1,1,0,1,0,0,0
0,1,0,0,0,1,0,0,1
0,0,1,1,0,1,0,0,0
0,0,0,1,1,1,1,0,0
0,0,0,1,0,1,0,0,1
0,0,0,1,0,1,0,0,1
0,0,1,1,0,1,0,0,1
0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,1,1,0,1,0,0,1
0,1,0,1,0,1,0,0,1
0,0,0,1,0,1,0,0,1
0,0,0,1,1,1,0,0,1
0,0,1,1,0,1,0,0,0
0,0,0,1,1,1,1,0,0
1,0,0,1,0,1,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0
0,0,0,1,0,1,0,0,0
0,0,0,1,0,0,0,0,0
0,0,0,1,0,1,0,0,0
0,0,0,1,0,1,0,0,1
0,0,1,1,0,1,0,0,1
0,0,0,1,0,1,0,0,0
0,0,1,1,0,1,0,0,1
1,0,0,1,0,0,0,0,0
0,1,1,1,0,1,0,1,1
0,0,0,1,0,1,0,0,0
0,0,0,0,0,0,0,0,0
0,0,1,1,0,1,0,0,0
0,0,0,1,0,1,0,0,0
0,0,1,0,1,0,0,0,0
0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,1,0,1,0,1,0,0,1
0,0,0,1,0,1,0,0,1
1,0,1,1,0,1,0,0,1
0,0,1,1,1,1,0,0,1
0,0,0,1,1,0,0,0,0
0,0,0,1,1,1,1,1,0
0,1,0,1,0,1,0,0,0
1,0,0,0,0,0,0,0,0
0,1,0,1,0,1,0,0,1
0,1,1,1,0,1,0,0,1
0,0,0,1,0,1,0,0,1
0,1,0,1,0,1,0,0,1
0,0,1,1,1,0,0,0,0
1,0,0,1,0,1,0,0,1
0,0,0,1,0,1,0,0,1
0,1,0,1,0,1,0,0,1
0,0,0,1,0,1,0,0,1
0,0,0,0,0,0,0,0,0
1,0,0,1,1,0,0,0,0
0,0,0,1,0,0,0,0,0
0,0,0,1,0,1,0,0,0
0,0,0,1,1,0,1,0,0
0,0,0,1,0,1,0,0,1
0,0,0,1,0,1,0,0,1
0,0,0,1,0,1,0,0,1
0,0,0,1,0,1,0,0,1
0,0,0,1,0,1,0,0,0
0,0,0,1,1,0,0,0,0
0,0,0,1,1,1,0,0,1
0,0,0,1,1,1,1,1,0
0,0,0,1,0,1,0,0,0
0,0,0,1,0,0,0,0,0
0,1,0,1,0,0,0,0,0
0,0,0,1,0,1,0,0,1
0,1,0,0,0,0,0,0,0
0,0,0,1,0,1,1,0,1
0,0,0,1,0,1,0,0,1
0,0,0,0,0,1,0,0,1
0,0,0,0,0,0,1,0,0
0,1,0,1,0,1,0,0,1
0,0,0,1,0,1,0,0,0
0,0,0,1,1,1,1,0,0
1,0,0,1,0,1,0,0,1
0,0,0,1,0,1,0,0,0
0,0,0,1,0,0,0,0,0
0,0,0,1,1,0,0,0,1
0,0,1,1,0,1,0,0,0
0,0,0,1,0,1,0,0,0
0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,1,0,1,0,0,1
0,0,0,1,0,0,0,0,0
0,0,0,0,1,0,1,0,0
0,0,0,1,0,1,1,1,0
0,0,0,1,1,1,1,0,1
0,0,0,1,0,1,0,0,0
0,0,0,1,0,1,0,0,0
0,0,0,0,1,0,1,0,0
0,0,0,1,0,0,0,0,1
0,0,0,1,0,1,0,0,1
0,0,0,1,0,1,0,0,1
0,1,1,1,0,0,0,0,0
0,1,0,1,1,1,0,0,1
0,0,0,1,0,0,0,0,0
0,0,0,1,0,1,0,0,1
0,0,0,1,0,1,0,0,1
0,0,0,1,0,1,0,0,1
0,0,0,1,0,1,0,0,0
0,0,0,1,0,1,0,0,1
0,1,1,1,0,0,0,0,0
0,0,0,1,0,1,0,0,1
0,0,0,0,0,0,0,0,1
0,0,1,0,0,0,0,0,0
1,0,0,1,0,1,0,0,1
0,0,0,1,0,0,0,0,0
0,0,0,1,0,1,0,0,1
0,1,1,1,0,1,0,0,0
0,0,1,1,0,1,0,0,1
0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,1,0,1,0,0,0
0,0,0,1,0,0,0,0,0
0,0,1,1,0,1,0,0,0
0,0,0,1,0,0,0,0,1
0,1,0,1,0,1,0,0,0
0,0,0,1,1,1,1,0,1
0,0,1,1,0,1,0,0,1
0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,1,1
1,0,0,0,0,0,0,0,0
1,0,0,1,0,1,0,0,1
0,0,1,1,0,1,0,0,0
0,0,0,1,0,1,0,0,0
0,0,0,1,0,1,0,0,0
0,0,1,1,0,1,0,0,1
0,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,0,0
1,0,1,1,0,1,0,0,1
1,0,1,1,0,0,0,0,0
0,0,0,1,0,0,0,0,0
0,0,0,1,1,1,1,0,0
0,1,0,1,0,1,0,0,1
0,0,0,1,0,1,0,0,1
1,0,0,1,0,1,0,0,0
0,0,0,1,1,1,0,0,1
0,0,0,1,0,1,0,0,1
0,0,0,1,1,1,0,0,1
0,0,0,1,0,0,0,0,0
0,1,0,1,0,1,0,0,1
0,1,0,0,0,0,0,1,1
0,0,0,1,0,1,0,0,1
0,0,0,1,0,1,0,0,0
0,0,0,1,0,0,0,0,0
0,0,1,1,1,1,0,0,1
0,0,0,1,0,1,0,0,0
0,0,0,1,0,1,0,0,0
0,1,0,1,0,1,0,0,1
0,0,1,1,1,0,1,1,1
0,1,0,0,0,0,0,0,1
0,0,1,1,1,1,0,0,1
0,0,0,1,0,1,0,0,0
0,0,0,1,0,1,0,0,0
0,0,0,0,0,0,0,0,1
0,1,0,0,0,0,0,0,0
0,0,0,1,1,0,0,0,0
0,0,0,1,0,1,0,0,1
0,0,0,1,0,0,0,0,0
0,0,0,1,0,1,0,0,1
0,0,0,1,0,1,0,0,1
0,0,0,1,1,1,0,0,1
1,0,0,1,0,1,0,0,0
0,1,0,1,0,1,0,0,1
1,0,0,1,0,1,0,0,0
0,0,1,1,0,1,0,0,0
1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,1,1
1,0,0,1,0,0,0,0,0
0,1,0,1,0,1,0,0,0
0,0,0,1,0,1,0,0,0
0,1,0,1,0,0,0,0,1
0,0,0,1,0,1,1,0,0
0,0,0,1,0,1,0,0,0
1,0,0,1,0,1,0,0,1
0,0,0,1,0,1,0,0,1
0,0,0,1,0,1,0,0,0
0,0,0,1,0,1,0,0,1
0,0,0,1,0,1,0,0,1
0,0,0,0,0,0,0,0,0
0,0,0,1,0,1,0,0,1
0,0,0,1,0,1,0,0,1
0,0,1,1,0,1,0,0,0
0,0,1,1,0,1,1,0,0
0,0,0,1,0,0,0,1,1
0,0,1,1,0,1,0,0,1
0,0,0,1,0,1,0,0,0
1,0,0,1,0,1,0,0,1
0,0,0,0,0,0,0,0,0
0,0,0,1,0,1,0,0,1
0,0,1,1,1,0,0,0,0
0,0,1,1,0,1,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,1,0,1,1,0,0
0,1,0,1,0,0,0,0,0
0,0,0,1,0,0,0,0,0
1,0,0,1,0,1,0,0,1
0,0,0,1,1,1,1,0,0
0,0,0,1,0,1,0,0,1
0,0,0,0,1,0,0,0,0
0,0,0,1,0,0,0,0,1
0,0,0,1,0,0,0,0,0
0,0,0,1,0,1,0,0,1
0,0,0,1,0,1,0,0,0
0,1,0,1,1,0,0,0,0
1,1,1,1,0,1,1,0,1
0,0,1,0,1,0,1,0,0
0,1,0,1,0,1,0,0,1
0,0,0,1,0,0,0,0,1
0,0,0,1,0,1,0,0,0
0,0,0,1,0,0,0,0,1
0,0,0,1,0,1,0,0,1
0,0,0,1,0,1,0,0,0
0,0,0,1,0,0,0,0,0
1,0,0,1,0,1,0,0,1
1,1,0,1,1,1,0,0,1
1,0,0,1,0,1,0,0,0
0,0,0,0,1,0,1,0,0
0,0,1,1,0,1,0,0,1
0,1,0,0,0,0,0,0,0
1,0,0,1,0,1,0,0,1
0,0,0,1,0,0,0,0,0
0,0,0,0,0,1,0,0,1
0,0,0,1,1,1,0,1,1
0,0,0,1,0,1,0,0,0
1,0,1,1,0,1,0,0,1
0,0,0,1,0,1,0,0,1
0,1,0,1,0,1,0,0,1
0,0,0,1,1,1,0,0,0
0,0,0,1,0,0,0,0,0
0,0,0,1,0,1,0,0,0
1,0,0,1,0,1,0,0,0
0,0,0,1,1,0,0,0,0
0,0,0,1,0,1,0,0,1
0,0,1,1,0,0,0,0,0
0,0,0,1,1,0,0,0,0
0,0,0,1,0,1,0,1,1
0,0,0,1,1,1,0,0,1
1,0,0,0,0,0,0,0,0
0,0,0,1,0,1,0,0,1
0,0,1,1,0,1,0,0,0
0,0,0,1,0,1,0,0,1
0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0
1,0,0,1,0,0,0,0,0
0,0,1,1,0,0,0,0,0
1,0,0,1,1,1,1,0,1
0,1,0,0,0,0,0,0,0
0,0,0,1,0,1,0,0,0
0,0,0,1,0,1,0,0,0
0,0,0,1,0,0,0,0,1
1,0,0,1,0,1,0,0,0
0,0,0,1,1,1,0,0,1
0,1,0,0,1,0,1,1,1
0,0,1,1,0,1,0,0,0
1,0,0,1,0,0,0,0,0
0,0,0,1,0,1,0,0,0
0,1,1,1,0,0,0,0,1
0,0,1,1,0,0,0,0,0
1,1,0,1,0,0,0,0,1
0,0,0,1,0,0,0,0,0
0,1,1,1,0,1,0,0,1
1,0,0,1,1,0,0,0,0
0,1,0,1,0,1,0,0,0
0,1,0,0,0,0,0,0,0
0,0,0,1,0,1,0,0,1
0,1,0,1,1,1,0,0,0
0,0,0,1,0,1,0,1,1
0,0,0,0,0,0,0,0,0
0,0,0,1,0,1,0,0,1
0,0,0,1,0,1,1,0,0
0,0,0,1,0,1,0,1,1
0,0,0,0,0,0,0,0,0
0,0,0,1,0,1,0,0,0
0,0,0,0,1,0,0,0,0
0,1,0,1,0,1,0,0,0
0,0,0,1,0,1,0,0,1
0,0,0,1,0,1,0,0,1
0,1,0,1,0,1,0,0,1
0,0,0,0,0,0,0,0,0
1,0,0,1,1,1,0,0,1
0,0,0,1,0,0,0,0,0
0,0,0,1,0,1,0,0,1
0,0,0,1,0,1,0,0,1
0,0,0,0,0,0,0,0,0
0,0,0,1,0,1,0,0,1
0,1,0,1,0,1,0,0,1
1,1,0,1,0,1,1,1,0
0,0,0,1,0,1,0,0,1
0,1,0,1,1,0,0,0,0
0,0,0,1,1,0,1,0,0
0,0,0,1,0,1,0,0,1
1,0,1,1,0,1,0,0,1
0,0,0,1,0,0,0,1,1
0,0,0,1,0,0,0,0,0
0,1,0,1,0,1,0,1,0
0,0,0,1,0,0,0,0,0
0,0,0,1,1,1,0,0,1
0,0,0,1,0,1,0,0,1
0,0,0,1,0,1,0,0,1
0,0,0,1,1,1,0,0,1
0,0,0,1,0,1,0,0,0
0,0,0,1,1,1,0,0,1
0,0,0,0,1,0,1,0,0
0,0,0,1,0,1,0,0,1
0,1,0,1,0,1,0,0,1
0,0,0,1,0,1,0,0,0
1,1,0,1,0,1,1,1,0
0,1,0,1,0,0,0,0,0
0,0,0,1,0,1,0,0,0
0,0,0,1,0,1,0,0,0
0,0,0,1,0,1,0,0,1
1,1,0,1,0,1,0,0,1
0,0,0,1,1,0,0,0,0
0,0,0,1,0,0,0,0,0
1,0,0,1,0,1,0,0,1
0,0,0,1,0,1,0,0,0
0,0,0,1,0,1,0,0,0
0,0,0,1,0,1,0,0,1
0,0,1,1,0,1,0,1,0
0,1,1,1,0,1,0,0,0
0,0,1,1,0,1,0,0,1
0,0,0,1,0,1,0,0,1
0,1,1,1,1,1,0,0,1
0,0,0,1,0,0,0,0,0
0,1,0,1,1,1,1,0,1
0,0,0,0,1,0,0,0,0
0,0,0,1,0,1,0,0,0
0,0,0,1,1,1,1,1,0
0,0,0,1,0,0,0,0,0
0,0,1,1,0,1,0,0,1
0,0,0,0,0,0,1,0,1
0,0,0,1,1,0,0,0,0
0,0,0,1,0,1,0,0,1
0,0,0,1,1,1,0,0,1
0,0,0,1,0,1,0,0,1
0,0,0,1,0,1,0,0,1
0,1,0,1,0,1,0,0,0
0,0,1,1,0,0,0,0,0
1,1,0,1,0,0,0,0,0
0,0,0,1,0,1,0,0,0
0,0,1,1,1,1,0,0,1
1,0,0,1,0,0,0,0,0
1,0,1,1,0,1,0,0,1
0,0,1,1,0,0,0,0,0
0,1,0,0,0,0,0,0,0
1,0,0,1,0,1,0,0,1
0,0,1,1,0,1,0,0,1
0,0,0,1,0,1,0,0,1
0,0,0,1,0,0,0,0,0
0,0,1,1,0,0,0,0,1
0,0,0,1,0,1,0,0,0
0,0,0,1,1,0,0,0,0
0,1,0,0,0,0,0,1,1
0,0,1,1,1,1,0,0,0
0,0,0,1,0,0,0,0,0
1,1,1,1,0,1,0,0,0
0,0,0,1,0,0,0,0,0
1,0,0,1,0,1,0,0,1
1,0,0,1,0,1,0,0,1
0,0,0,1,0,1,0,0,0
0,0,0,1,0,1,0,0,1
0,0,0,1,0,1,0,0,1
1,0,0,1,0,0,0,0,0
0,0,0,1,0,1,0,0,1
0,0,1,1,0,1,0,0,1
0,0,0,1,0,1,0,0,1
0,0,0,1,0,0,0,0,0
0,1,0,1,1,1,0,0,1
0,0,0,1,1,1,1,1,0
0,1,0,1,0,1,0,0,1
0,1,1,1,0,0,0,0,1
0,0,0,1,0,1,0,0,0
0,0,0,1,0,1,0,0,1
1,0,0,1,0,1,0,0,1
0,0,0,0,0,0,0,0,1
0,0,0,1,1,1,0,0,1
1,0,0,1,1,1,0,0,1
0,0,0,1,0,1,0,0,1
0,1,0,1,0,1,0,0,1
1,0,0,1,1,1,0,1,1
0,0,0,1,0,1,0,0,1
0,0,0,0,0,0,0,0,0
0,0,0,1,0,1,0,0,1
0,0,0,0,0,0,0,0,0
0,0,0,1,0,1,0,0,1
0,0,0,1,0,1,0,0,1
0,0,0,1,0,0,0,0,0
0,1,0,0,1,0,0,0,0
0,0,0,1,0,1,0,0,0
0,1,0,1,0,1,0,0,1
0,0,1,1,0,1,0,0,1
0,1,0,1,0,1,0,0,1
0,0,0,1,1,1,1,1,0
1,0,0,0,0,0,0,0,0
0,0,0,1,0,1,0,0,0
0,0,0,1,0,1,0,0,1
0,0,0,0,1,0,0,0,0
0,0,0,1,1,1,0,0,1
1,0,0,1,0,0,1,1,1
0,0,0,1,0,1,0,0,1
0,0,0,1,1,1,1,0,0
0,0,0,0,0,0,0,0,0
0,0,0,1,0,1,0,0,0
0,0,0,1,0,1,0,0,1
1,0,0,1,0,1,0,0,1
0,0,0,1,0,1,0,0,1
0,0,0,1,0,1,0,0,1
0,0,0,1,0,1,0,1,1
0,0,0,1,0,0,0,0,0
0,1,0,1,0,0,0,0,0
0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,1,0,1,0,0,1
1,0,0,1,0,1,0,0,0
0,1,0,1,0,1,0,0,1
